PARCEL_ID,address
00104034,10530  EDGEWATER DR Cleveland OH
00105003,10315  CLIFF DR Cleveland OH
00105004,10301  CLIFF DR Cleveland OH
00105005,10225  CLIFF DR Cleveland OH
00105006,10302  EDGEWATER DR Cleveland OH
00105007,10310  EDGEWATER DR Cleveland OH
00105008,10318  EDGEWATER DR Cleveland OH
00105010,10410  EDGEWATER DR Cleveland OH
00105011,10418  EDGEWATER DR Cleveland OH
00105012,10500  EDGEWATER DR Cleveland OH
00105013,10433  EDGEWATER DR Cleveland OH
00105014,10411  EDGEWATER DR Cleveland OH
00105015,10407  EDGEWATER DR Cleveland OH
00105016,10405  EDGEWATER DR Cleveland OH
00105017,10403  EDGEWATER DR Cleveland OH
00105018,10401  EDGEWATER DR Cleveland OH
00105019,10309  EDGEWATER DR Cleveland OH
00105020,10219  EDGEWATER DR Cleveland OH
00105021,10304  LAKE AVE Cleveland OH
00105022,10314  LAKE AVE Cleveland OH
00105023,10324  LAKE AVE Cleveland OH
00105024,10404  LAKE AVE Cleveland OH
00105025,10416  LAKE AVE Cleveland OH
00105026,10422  LAKE AVE Cleveland OH
00105027,10498  LAKE AVE Cleveland OH
00105028,10500  LAKE AVE Cleveland OH
00105029,10401  CLIFF DR Cleveland OH
00105030,10510  EDGEWATER DR Cleveland OH
00105032,10409  CLIFF DR Cleveland OH
00106001,010215  CLIFF DR Cleveland OH
00106002,10201  CLIFF DR Cleveland OH
00106003,10111  CLIFF DR Cleveland OH
00106004,10107  CLIFF DR Cleveland OH
00106005,10019  CLIFF DR Cleveland OH
00106006,10011  CLIFF DR Cleveland OH
00106007,10001  CLIFF DR Cleveland OH
00106008,09995  CLIFF DR Cleveland OH
00106009,  WEST BLVD Cleveland OH
00106010,09910  EDGEWATER DR Cleveland OH
00106011,10006  EDGEWATER DR Cleveland OH
00106012,10014  EDGEWATER DR Cleveland OH
00106013,10100  EDGEWATER DR Cleveland OH
00106014,10108  EDGEWATER DR Cleveland OH
00106015,10116  EDGEWATER DR Cleveland OH
00106016,10202  EDGEWATER DR Cleveland OH
00106017,10210  EDGEWATER DR Cleveland OH
00106018,10217  EDGEWATER DR Cleveland OH
00106019,10205  EDGEWATER DR Cleveland OH
00106020,10119  EDGEWATER DR Cleveland OH
00106021,10111  EDGEWATER DR Cleveland OH
00106022,10103  EDGEWATER DR Cleveland OH
00106023,10017  EDGEWATER DR Cleveland OH
00106024,10009  EDGEWATER DR Cleveland OH
00106025,10001  EDGEWATER DR Cleveland OH
00106026,09903  EDGEWATER DR Cleveland OH
00106027,09912  LAKE AVE Cleveland OH
00106028,09918  LAKE AVE Cleveland OH
00106029,10000  LAKE AVE Cleveland OH
00106030,10010  LAKE AVE Cleveland OH
00106031,10102  LAKE AVE Cleveland OH
00106032,10200  LAKE AVE Cleveland OH
00106033,10216  LAKE AVE Cleveland OH
00106034,10224  LAKE AVE Cleveland OH
00107001,09450  DESMOND AVE Cleveland OH
00107002,09411  DESMOND AVE Cleveland OH
