address,Total,lon,lat
"1828 W 48 ST , Cleveland OH",1,-81.72041,41.482693
"1829 W 57 ST , Cleveland OH",2,-81.724825,41.481119
"1833 W 57 ST , Cleveland OH",2,-81.724814,41.481013
"1855 W 52 ST , Cleveland OH",1,-81.7222664,41.4811793
"1864 E 97 ST , Cleveland OH",1,-81.62033,41.5072199
"1876 W 47 ST , Cleveland OH",1,-81.7192288,41.4818059
"18828  Sloane AVE , Lakewood OH",2,-81.829929,41.4851357
"1885 W 52 ST , Cleveland OH",2,-81.7221815,41.4803455
"1890 E 97 ST , Cleveland OH",1,-81.620306,41.506518
"18901  Naumann AVE , Euclid OH",2,-81.547298,41.592441
"1911 E 97 ST , Cleveland OH",1,-81.619103,41.505963
"1912    , Cleveland OH",1,-81.556073,41.5074773
"1942 W 52 ST , Cleveland OH",1,-81.7228029,41.4786851
"1952 E 75 ST , Cleveland OH",1,-81.6367153,41.5053518
"1956  57 AVE , Cleveland OH",2,-81.6943605,41.49932
"1956 W 57 PL , Cleveland OH",3,-81.7252745,41.4776373
"1956 W 57 ST , Cleveland OH",5,-81.7252745,41.4776373
"1967 W 52 ST , Cleveland OH",1,-81.7222958,41.4780267
"1967 W 58 ST , Cleveland OH",1,-81.7261142,41.4780412
"200  Creekside DR , Garfield Hts. OH",3,-81.5863038,41.3892436
"20001  Euclid AVE , Euclid OH",2,-81.5425015,41.5656431
"2021 W 48 ST , Cleveland OH",1,-81.719776,41.4772986
"2033 E 69 ST , Cleveland OH",1,-81.6417497,41.5033693
"2053 W 47 ST , Cleveland OH",1,-81.7185487,41.4768613
"2111  Barber AVE , Cleveland OH",1,-81.6970797,41.4752825
"2117  Barber AVE , Cleveland OH",3,-81.6972935,41.4752592
"21201  Miles RD , North Randall OH",1,-81.533013,41.429661
"2125 W 41 ST , Cleveland OH",1,-81.7132446,41.478548
"21500  Emery RD , North Randall OH",1,-81.5313444,41.4330134
"2151 W 104 ST , Cleveland OH",1,-81.7575731,41.4728148
"2155 W 41 ST , Cleveland OH",1,-81.7133001,41.4781075
"2162 E 37 ST , Cleveland OH",1,-81.6611449,41.4988694
"2166 E 38 ST , Cleveland OH",1,-81.6602961,41.4989784
"2166 E 40 ST , Cleveland OH",3,-81.6575427,41.4992618
"2168 W 29 ST , Cleveland OH",2,-81.7047242,41.4807751
"2173 E 37 ST , Cleveland OH",1,-81.6606315,41.4987545
"2185 E 37 ST , Cleveland OH",1,-81.6606137,41.4984952
"2195 E 37 ST , Cleveland OH",1,-81.660534,41.4980958
"21951  Ball AVE , Euclid OH",1,-81.528225,41.597504
"2218 E 37 ST , Cleveland OH",1,-81.660901,41.497493
"2219 W 38 ST , Cleveland OH",1,-81.7114487,41.477836
"2220  Keystone RD , Parma OH",1,-81.696532,41.3997979
"2227 E 39 ST , Cleveland OH",1,-81.6579784,41.4975139
"22320  Coulter AVE , Euclid OH",1,-81.5260313,41.5755098
"2240  Jackson BLVD , University Hts. OH",1,-81.552832,41.498389
"2242 W 20 ST , Cleveland OH",1,-81.699233,41.482695
"2250 W 20 ST , Cleveland OH",1,-81.699225,41.482559
"2254 W 20 ST , Cleveland OH",1,-81.6991531,41.4824962
"2269 E 100 ST , Cleveland OH",1,-81.61797,41.496334
"2272 E 83 ST , Cleveland OH",1,-81.629898,41.496801
"2276 E 103 ST , Cleveland OH",1,-81.616539,41.496014
"2280 E 103 ST , Cleveland OH",1,-81.61654,41.495932
"2284 E 103 ST , Cleveland OH",1,-81.616541,41.49585
"2285 E 101 ST , Cleveland OH",1,-81.616943,41.495836
"2289 E 101 ST , Cleveland OH",1,-81.6169716,41.4957291
"2292 E 103 ST , Cleveland OH",1,-81.6165429,41.495671
"2358 E 84 ST , Cleveland OH",1,-81.6287139,41.4945755
"2432  Scranton RD , Cleveland OH",1,-81.6948129,41.4791163
"24801  Rockside RD , Bedford Hts. OH",1,-81.5044172,41.4102286
"25900  Euclid AVE , Euclid OH",1,-81.5026058,41.5860698
"2702  Diamond AVE , Cleveland OH",1,-81.650195,41.483253
